Note: 


Addr	Number	Disass
402b93	11268	test rbx, rbx
402b96	11268	jnz 0x402b54
402b98	12	pop rbx
402b99	12	pop rbp
402b9a	12	pop r12
402b9c	12	mov rax, r13
402b9f	12	pop r13
402ba1	12	pop r14
402ba3	12	ret 
402ba8	3	mov r13, r12
402bab	3	jmp 0x402b50
403090	1	push rbp
403091	1	push rbx
403092	1	mov rbx, rdi
403095	1	sub rsp, 0x8
403099	1	test rdi, rdi
40309c	1	jnz 0x4030a3
40309e	1	jmp 0x4030bc
4030bc	1	add rsp, 0x8
4030c0	1	pop rbx
4030c1	1	pop rbp
4030c2	1	ret 
4030d0	1878	push rbp
4030d1	1878	mov eax, 0xffffffff
4030d6	1878	mov rbp, rdi
4030d9	1878	push rbx
4030da	1878	sub rsp, 0x8
4030de	1878	mov edx, dword ptr [rsi]
4030e0	1878	test edx, edx
4030e2	1878	jz 0x403116
403116	1878	add rsp, 0x8
40311a	1878	pop rbx
40311b	1878	pop rbp
40311c	1878	ret 
403160	2	push r13
403162	2	push r12
403164	2	mov r12d, esi
403167	2	push rbp
403168	2	push rbx
403169	2	mov rbx, rdi
40316c	2	sub rsp, 0x8
403170	2	mov edx, dword ptr [rdi+0x8]
403173	2	mov rax, qword ptr [rdi+0x20]
403177	2	test edx, edx
403179	2	jnz 0x4032b0
403184	2	xor eax, eax
403186	2	xor ebp, ebp
403188	2	test r13w, r13w
40318c	2	mov rsi, qword ptr [rbx+0x70]
403190	2	jnz 0x403225
4031a0	10	test edx, edx
4031a2	10	jnz 0x403278
4031ab	10	cmp ecx, 0x3
4031ae	10	setnbe cl
4031b1	20	test cl, cl
4031b3	20	jz 0x4031d5
4031b5	12	test edx, edx
4031b7	12	jnz 0x403280
4031c6	12	mov rdi, rax
4031c9	12	call 0x403980
4031ce	12	mov edx, dword ptr [rbx+0x8]
4031d1	12	mov rsi, qword ptr [rbx+0x70]
4031d5	20	test r12d, r12d
4031d8	20	jnz 0x403210
4031da	10	cmp dword ptr [rsi], 0x1
4031dd	10	setz cl
4031e0	10	test cl, cl
4031e2	10	jz 0x403210
4031e4	2	mov ecx, dword ptr [rbx+0x80]
4031ea	2	test ecx, ecx
