Note: 


Addr	Number	Disass
404f5b	1	jz 0x404faa
404f5d	1	mov rdx, r15
404f60	1	xor dil, dil
404f63	1	jmp 0x404f88
404f68	17	cmp ecx, 0x7c
404f6b	17	jz 0x404f90
404f6d	16	cmp ecx, 0x3f
404f70	16	jz 0x404f90
404f72	12	add rdx, 0x8
404f76	12	add rdi, 0x1
404f7a	12	mov rax, qword ptr [rdx]
404f7d	12	test rax, rax
404f80	12	jz 0x404fa2
404f82	12	nop word ptr [rax+rax*1], ax
404f88	23	movzx ecx, byte ptr [rax]
404f8b	23	cmp ecx, 0x26
404f8e	23	jnz 0x404f68
404f90	11	cmp byte ptr [rax+0x1], 0x0
404f94	11	jnz 0x404f72
404f96	11	add rdx, 0x8
404f9a	11	mov rax, qword ptr [rdx]
404f9d	11	test rax, rax
404fa0	11	jnz 0x404f88
404fa2	1	add rdi, 0x1
404fa6	1	shl rdi, 0x4
404faa	1	call 0x4053b0
404faf	1	mov rsi, qword ptr [r15]
404fb2	1	xor ebp, ebp
404fb4	1	mov r12, rax
404fb7	1	test rsi, rsi
404fba	1	jz 0x4050b4
404fc0	1	lea rbx, ptr [r15+0x8]
404fc4	1	jmp 0x405031
404fd0	6	cmp byte ptr [rsi+0x1], 0x0
404fd4	6	jnz 0x405180
404fda	6	lea rdi, ptr [rsp+0x38]
404fdf	6	call 0x404f00
404fe4	6	lea rdi, ptr [rsp+0x38]
404fe9	6	mov dword ptr [rsp+0x2c], eax
404fed	6	call 0x404f00
404ff2	6	mov edi, 0x10
404ff7	6	mov r15d, eax
404ffa	6	call 0x4053b0
404fff	6	imul r15d, dword ptr [rsp+0x2c]
405005	6	mov rdx, qword ptr [rsp+0x38]
40500a	6	mov qword ptr [rax], rdx
40500d	7	xor edx, edx
40500f	7	test r15d, r15d
405012	7	setnz dl
405015	7	mov dword ptr [rax+0x8], edx
405018	7	mov qword ptr [rsp+0x38], rax
40501d	19	mov r15, rbx
405020	19	add rbx, 0x8
405024	19	mov rsi, qword ptr [rbx-0x8]
405028	19	test rsi, rsi
40502b	19	jz 0x4050ad
405031	23	movzx eax, byte ptr [rsi]
405034	23	cmp eax, 0x26
405037	23	jz 0x404fd0
405039	17	cmp eax, 0x7c
40503c	17	jnz 0x405080
40503e	1	cmp byte ptr [rsi+0x1], 0x0
405042	1	jnz 0x405180
405048	1	lea rdi, ptr [rsp+0x38]
40504d	1	call 0x404f00
405052	1	lea rdi, ptr [rsp+0x38]
405057	1	mov dword ptr [rsp+0x2c], eax
40505b	1	call 0x404f00
405060	1	mov edi, 0x10
405065	1	mov r15d, eax
405068	1	call 0x4053b0
40506d	1	mov rdx, qword ptr [rsp+0x38]
405072	1	add r15d, dword ptr [rsp+0x2c]
405077	1	mov qword ptr [rax], rdx
40507a	1	jmp 0x40500d
405080	16	cmp eax, 0x3f
405083	16	jnz 0x405180
405089	4	cmp byte ptr [rsi+0x1], 0x0
40508d	4	jnz 0x405180
405093	4	lea rdi, ptr [rsp+0x38]
405098	4	mov r15, rbx
40509b	4	add rbx, 0x8
40509f	4	call 0x404f00
4050a4	4	mov rsi, qword ptr [rbx-0x8]
4050a8	4	test rsi, rsi
4050ab	4	jnz 0x405031
4050ad	1	movsxd rbp, ebp
4050b0	1	shl rbp, 0x4
4050b4	1	mov rdx, qword ptr [rip+0x238655]
4050bb	1	mov rax, qword ptr [rip+0x2386c6]
4050c2	1	mov esi, 0x1
4050c7	1	mov rcx, qword ptr [rip+0x23864a]
4050ce	1	mov rdi, qword ptr [rip+0x238603]
4050d5	1	mov qword ptr [r12+rbp*1], 0x0
4050dd	1	cmp dword ptr [rdx+0xc], 0x1
4050e1	1	mov r9, qword ptr [rdx+0x38]
4050e5	1	mov edx, 0x407ff0
4050ea	1	mov qword ptr [rsp+0x10], rax
4050ef	1	mov qword ptr [rsp], rax
4050f3	1	mov qword ptr [rsp+0x8], rcx
4050f8	1	sbb r8d, r8d
4050fb	1	xor eax, eax
4050fd	1	and r8d, 0xfffffff8
405101	1	add r8d, 0x10
405105	1	call 0x401240
40510a	1	lea rdi, ptr [rsp+0x38]
40510f	1	call 0x404f00
405114	1	cmp eax, 0x1
405117	1	mov ebx, eax
405119	1	mov r8, qword ptr [rip+0x238668]
405120	1	jz 0x405250
405126	1	mov rcx, qword ptr [rip+0x2385d3]
40512d	1	mov rdi, qword ptr [rip+0x2385a4]
405134	1	mov edx, 0x407fcf
405139	1	mov esi, 0x1
40513e	1	xor eax, eax
405140	1	call 0x401240
405145	1	mov qword ptr [r14], r12
405148	1	nop dword ptr [rax+rax*1], eax
405150	1	lea rdi, ptr [rsp+0x38]
405155	1	call 0x404f00
40515a	1	cmp eax, 0xffffffff
40515d	1	jnz 0x405150
40515f	1	xor eax, eax
405161	1	cmp ebx, 0x1
405164	1	setz al
405167	1	add rsp, 0x48
40516b	1	pop rbx
40516c	1	pop rbp
40516d	1	pop r12
40516f	1	pop r13
405171	1	pop r14
405173	1	pop r15
405175	1	ret 
405180	12	mov rdi, r13
405183	12	call 0x402b30
405188	12	mov edi, 0x10
40518d	12	mov qword ptr [rsp+0x20], rax
405192	12	call 0x4053b0
405197	12	mov rdx, qword ptr [rsp+0x20]
40519c	12	mov rcx, qword ptr [rsp+0x38]
4051a1	12	mov qword ptr [rax], rcx
4051a4	12	xor ecx, ecx
4051a6	12	test rdx, rdx
4051a9	12	setnz cl
4051ac	12	mov qword ptr [rsp+0x38], rax
4051b1	12	mov dword ptr [rax+0x8], ecx
4051b4	12	movsxd rax, ebp
4051b7	12	mov rcx, qword ptr [r15]
4051ba	12	shl rax, 0x4
4051be	12	add ebp, 0x1
4051c1	12	add rax, r12
4051c4	12	test rdx, rdx
4051c7	12	mov qword ptr [rax], rcx
4051ca	12	mov qword ptr [rax+0x8], rdx
4051ce	12	jz 0x405278
4051d4	3	mov eax, dword ptr [rip+0x238606]
4051da	3	test eax, eax
4051dc	3	jnz 0x405240
4051de	3	mov rsi, qword ptr [rdx+0x18]
4051e2	3	mov r9, qword ptr [rdx+0x8]
4051e6	3	mov rdx, qword ptr [rip+0x238523]
4051ed	3	mov rax, qword ptr [rip+0x238594]
4051f4	3	mov rcx, qword ptr [rip+0x23851d]
4051fb	3	mov rdi, qword ptr [rip+0x2384d6]
405202	3	cmp dword ptr [rdx+0xc], 0x1
405206	3	mov qword ptr [rsp+0x10], rsi
40520b	3	mov edx, 0x407f7e
405210	3	mov qword ptr [rsp+0x18], rax
405215	3	mov qword ptr [rsp], rax
405219	3	mov esi, 0x1
40521e	3	mov qword ptr [rsp+0x8], rcx
405223	3	sbb r8d, r8d
405226	3	xor eax, eax
405228	3	and r8d, 0xfffffff8
40522c	3	add r8d, 0x10
405230	3	call 0x401240
405235	3	jmp 0x40501d
405278	9	mov r8, qword ptr [rip+0x238509]
40527f	9	mov rcx, qword ptr [rip+0x23847a]
405286	9	mov edx, 0x407f98
40528b	9	mov rdi, qword ptr [rip+0x238446]
405292	9	mov esi, 0x1
405297	9	mov qword ptr [rsp+0x8], r8
40529c	9	mov rax, qword ptr [r15]
40529f	9	mov r9, rcx
4052a2	9	mov qword ptr [rsp], rax
4052a6	9	xor eax, eax
4052a8	9	call 0x401240
4052ad	9	jmp 0x40501d
4053b0	34	sub rsp, 0x8
4053b4	34	call 0x401190
4053b9	34	test rax, rax
4053bc	34	jz 0x4053c3
4053be	34	add rsp, 0x8
4053c2	34	ret 
4053e0	1	sub rsp, 0x8
4053e4	1	xor eax, eax
4053e6	1	call 0x4011f0
4053eb	1	cmp eax, 0xffffffff
4053ee	1	jz 0x4053f5
4053f0	1	add rsp, 0x8
4053f4	1	ret 
405410	1	sub rsp, 0x8
405414	1	call 0x401080
405419	1	cmp rax, 0xffffffffffffffff
40541d	1	jz 0x405424
40541f	1	add rsp, 0x8
405423	1	ret 
4054d0	2	sub rsp, 0x8
4054d4	2	call 0x4010f0
4054d9	2	test rax, rax
4054dc	2	jz 0x4054e3
4054de	2	add rsp, 0x8
4054e2	2	ret 
405940	1	push rbx
405941	1	mov rbx, rdi
405944	1	mov esi, 0x627540
405949	1	mov eax, 0x632580
40594e	1	sub rsp, 0x40
405952	1	cmp rdi, 0x4
405956	1	mov edi, dword ptr [rip+0x237ea4]
40595c	1	cmovnz rsi, rax
405960	1	test edi, edi
405962	1	jz 0x4059c0
405976	1	lea rdx, ptr [rsp+0x38]
40597b	1	call 0x404f30
405980	1	mov esi, dword ptr [rip+0x237e7a]
405986	1	test eax, eax
405988	1	setz al
40598b	1	movzx eax, al
40598e	1	test esi, esi
405990	1	jz 0x4059d8
4059ae	1	mov rdi, qword ptr [rsp+0x38]
4059b3	1	call 0x400ff0
4059b8	1	add rsp, 0x40
4059bc	1	pop rbx
4059bd	1	ret 
4059c0	1	mov edi, 0x627480
4059c5	1	cmp rbx, 0x4
4059c9	1	mov eax, 0x63d600
4059ce	1	cmovnz rdi, rax
4059d2	1	jmp 0x405976
4059d8	1	test eax, eax
4059da	1	jnz 0x4059ae
4068a0	1	mov qword ptr [rsp-0x28], rbp
4068a5	1	mov qword ptr [rsp-0x20], r12
4068aa	1	lea rbp, ptr [rip+0x22057b]
4068b1	1	lea r12, ptr [rip+0x220574]
4068b8	1	mov qword ptr [rsp-0x18], r13
4068bd	1	mov qword ptr [rsp-0x10], r14
4068c2	1	mov qword ptr [rsp-0x8], r15
4068c7	1	mov qword ptr [rsp-0x30], rbx
4068cc	1	sub rsp, 0x38
4068d0	1	sub rbp, r12
4068d3	1	mov r13d, edi
4068d6	1	mov r14, rsi
4068d9	1	sar rbp, 0x3
4068dd	1	mov r15, rdx
4068e0	1	call 0x400fb8
4068e5	1	test rbp, rbp
4068e8	1	jz 0x406906
406906	1	mov rbx, qword ptr [rsp+0x8]
40690b	1	mov rbp, qword ptr [rsp+0x10]
406910	1	mov r12, qword ptr [rsp+0x18]
406915	1	mov r13, qword ptr [rsp+0x20]
40691a	1	mov r14, qword ptr [rsp+0x28]
40691f	1	mov r15, qword ptr [rsp+0x30]
406924	1	add rsp, 0x38
406928	1	ret 
406940	1	push rbp
406941	1	mov rbp, rsp
406944	1	push rbx
406945	1	sub rsp, 0x8
406949	1	mov rax, qword ptr [rip+0x2204e0]
406950	1	cmp rax, 0xffffffffffffffff
406954	1	jz 0x40696f
40696f	1	add rsp, 0x8
406973	1	pop rbx
406974	1	pop rbp
406975	1	ret 
